DS_CARGO,SQ_CANDIDATO,NR_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,DS_GENERO,DS_GRAU_INSTRUCAO,DS_OCUPACAO,patrimonio_total,qtd_bens,tipo_principal
GOVERNADOR,40002541626,22,PROFESSORA MARIA DO CARMO,PL,FEMININO,SUPERIOR COMPLETO,EMPRESÁRIO,118473769.48,27.0,Outras participações societárias
SENADOR,40002531447,155,EDUARDO BRAGA,MDB,MASCULINO,SUPERIOR COMPLETO,SENADOR,60278559.1,81.0,"Aplicação de renda fixa (CDB, RDB e outros)"
1º SUPLENTE,40002542688,222,ALESSANDRO TONIZA,PL,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,23440559.98,44.0,Outras aplicações e Investimentos
DEPUTADO ESTADUAL,40002532780,55999,DR SANDOVAL CHEIRO DO POVO,PSD,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,23246824.33,17.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002541745,44111,ADJUTO AFONSO,UNIÃO,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,10543969.52,27.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO ESTADUAL,40002542954,22444,MANOEL CUNHA,PL,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,EMPRESÁRIO,8268301.98,5.0,Prédio comercial
DEPUTADO ESTADUAL,40002532744,15005,SERGIO NUNES,MDB,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,8154000.0,2.0,Terreno
DEPUTADO ESTADUAL,40002532749,15111,SIMÃO PEIXOTO,MDB,MASCULINO,SUPERIOR INCOMPLETO,EMPRESÁRIO,7205806.14,11.0,Casa
1º SUPLENTE,40002531448,155,SANDRA BRAGA,MDB,FEMININO,SUPERIOR COMPLETO,EMPRESÁRIO,6435906.76,17.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO FEDERAL,40002536433,7022,CORONEL MENEZES,AVANTE,MASCULINO,SUPERIOR COMPLETO,ADMINISTRADOR,5131698.2299999995,10.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO ESTADUAL,40002532791,55007,ROZENHA,PSD,MASCULINO,ENSINO MÉDIO COMPLETO,DEPUTADO,4865378.82,15.0,OUTROS BENS E DIREITOS
GOVERNADOR,40002541741,44,ROBERTO CIDADE,UNIÃO,MASCULINO,SUPERIOR COMPLETO,GOVERNADOR,4285400.8,12.0,Terreno
DEPUTADO FEDERAL,40002540481,2222,ALFREDO NASCIMENTO,PL,MASCULINO,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),4190447.38,13.0,Outras aplicações e Investimentos
DEPUTADO ESTADUAL,40002536488,36777,TONY MEDEIROS,AGIR,MASCULINO,SUPERIOR COMPLETO,MÚSICO,4045908.68,11.0,Terreno
DEPUTADO ESTADUAL,40002537346,70111,JOÃO ROBERTO,AVANTE,MASCULINO,SUPERIOR COMPLETO,CONTADOR,3828095.0,6.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO FEDERAL,40002534877,1516,CAILA CARIM,MDB,FEMININO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,3800000.0,2.0,Quotas ou quinhões de capital
DEPUTADO ESTADUAL,40002542966,22344,LUCIANA FRANÇA,PL,FEMININO,SUPERIOR COMPLETO,EMPRESÁRIO,3720895.63,12.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO FEDERAL,40002531440,1500,JESUS ALVES,MDB,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,3708000.0,5.0,Quotas ou quinhões de capital
DEPUTADO ESTADUAL,40002541613,20444,PAULO PP,PODE,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,EMPRESÁRIO,3546644.12,17.0,Quotas ou quinhões de capital
SENADOR,40002537344,455,PLINIO VALÉRIO,PSDB,MASCULINO,SUPERIOR COMPLETO,JORNALISTA E REDATOR,3527132.51,23.0,Terreno
DEPUTADO ESTADUAL,40002542657,44222,VIVIAN AMORIM,UNIÃO,FEMININO,SUPERIOR COMPLETO,OUTROS,3442024.56,9.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO FEDERAL,40002542670,4477,FAUSTO JR,UNIÃO,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,3400000.0,4.0,Quotas ou quinhões de capital
DEPUTADO ESTADUAL,40002541593,20000,FELIPE SOUZA,PODE,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,3393364.95,16.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO FEDERAL,40002533210,1024,MASSAMI MIKI,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,3391527.65,18.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO ESTADUAL,40002532735,15888,CORONEL WILSON MARQUES,MDB,MASCULINO,SUPERIOR COMPLETO,POLICIAL MILITAR,3287000.0,3.0,Casa
DEPUTADO FEDERAL,40002532763,5525,ATILA LINS,PSD,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,3194270.92,8.0,Apartamento
DEPUTADO ESTADUAL,40002542662,11000,CEARAZIN SEMISERA,PP,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,3171252.48,6.0,Depósito bancário em conta corrente no País
DEPUTADO FEDERAL,40002542674,1111,TADEU DE SOUZA,PP,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,3099441.34,26.0,"Fundos: Ações, Mútuos de Privatização, Invest. Empresas Emergentes, Invest.Participação e Invest. Índice Mercado"
DEPUTADO ESTADUAL,40002534377,10007,RODRIGO GUEDES,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,VEREADOR,3091617.64,17.0,Outras aplicações e Investimentos
DEPUTADO ESTADUAL,40002542663,44300,PROFESSORA JACQUELINE,UNIÃO,FEMININO,SUPERIOR COMPLETO,VEREADOR,3027257.71,13.0,Outras aplicações e Investimentos
DEPUTADO ESTADUAL,40002541616,20123,YOMARA LINS,PODE,FEMININO,SUPERIOR COMPLETO,VEREADOR,3012978.0,3.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002541747,44789,WANDERLEY MONTEIRO,UNIÃO,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,2926172.37,5.0,Casa
DEPUTADO ESTADUAL,40002546984,12123,HUDSON JORGE,PDT,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,2883000.0,11.0,Outros bens imóveis
DEPUTADO ESTADUAL,40002532789,55222,DELEGADO  AYSLAN MARQUES,PSD,MASCULINO,SUPERIOR COMPLETO,POLICIAL CIVIL,2871742.85,21.0,Casa
DEPUTADO FEDERAL,40002532762,5522,PAUDERNEY,PSD,MASCULINO,SUPERIOR COMPLETO,ENGENHEIRO,2860407.1300000004,22.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
2º SUPLENTE,40002531446,155,MIGUEL BIANGO,MDB,MASCULINO,SUPERIOR COMPLETO,ARQUITETO,2638383.0,27.0,Ações (inclusive as provenientes de linha telefônica)
DEPUTADO FEDERAL,40002542671,4411,PROFESSORA THEREZINHA RUIZ,UNIÃO,FEMININO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO CIVIL APOSENTADO,2469000.0,10.0,Apartamento
DEPUTADO ESTADUAL,40002542653,11111,RODRIGO SÁ,PP,MASCULINO,SUPERIOR COMPLETO,VEREADOR,2436476.2,11.0,Depósito bancário em conta corrente no País
